video_id,title,published_at,channel,views,likes,comments
cpE2NpxN4JI,"CHANDANIYA (Song) | Ashish Chanchlani, Elli AvrRam | Mithoon, Vishal Mishra, Sayeed Q | Bhushan K",2025-07-19T05:33:13Z,T-Series,3962739,243553,10386
nyURE5vmj2I,"Thalaivan Thalaivii - Trailer | Vijay Sethupathi, Nithya Menen | Pandiraaj | Santhosh Narayanan",2025-07-17T11:30:04Z,Think Music India,4871150,154025,2965
tQtJzzCOiys,"Romeo S3 - Full Movie | Palak Tiwari, Thakur Anoop Singh | Pen Movies | New Hindi Movie 2025",2025-07-17T18:31:12Z,Pen Movies,3688634,49404,1871
s9NBDKfVg1c,Nuvvunte Chaley - Lyrical | Andhra King Taluka | Ram Pothineni | Bhagyashri Borse | Mahesh Babu P,2025-07-18T11:34:03Z,T-Series Telugu,8822679,212796,8135
dBjDYKpk-TY,Ethirneechal Thodargiradhu - Promo | 19 July 2025 | Tamil Serial | Sun TV,2025-07-19T05:38:07Z,Sun TV,1161606,21496,506
6lnorP0ZsZY,ନିଆଁ ଲାଗିବାର ଘଣ୍ଟେ ପୂର୍ବରୁ ସବୁ କହିଥିଲେ| FM College Girl's Friend Reaction | Balasore FM College News,2025-07-18T08:34:16Z,News18 Odia,1322647,12646,1092
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,2025-07-16T14:00:00Z,Netflix,15529152,696117,39797
-PXOEWsldoM,Bhole Ka Pujari (Official Video) Masoom Sharma | New Haryanvi Song 2025 | New Bhole Baba Song,2025-07-18T10:30:01Z,Sonotek Music,364058,9059,397
mMNHi8n-7sY,Saiyaara Movie REVIEW | Deeksha Sharma,2025-07-18T09:45:40Z,Filmi Indian,1139631,31724,1861
SRscWBa1OSE,Sabba : Village Flow (Official Video) | Latest Punjabi Songs 2025 | New Punjabi Songs 2025,2025-07-18T05:30:08Z,Speed Records,1002221,49300,2763
